Run scenario: n021w4

Processing: week 0
================================================================================

Finish initial solution ...
penalties -- H1: 0, H2: 0, H3: 6000 H4: 0, S1: 630, S2+S3+S5: 3900, S4: 60, ComC: 441.5278
🟥 Initial solution penalty: 11031.527777777777

Start simulated annealing...🧊
penalties -- H1: 0, H2: 0, H3: 6000 H4: 0, S1: 630, S2+S3+S5: 3900, S4: 60, ComC: 441.5278

--- Temperature Level (1/76) ---
> Current temperature: 110.0000
penalties -- H1: 0, H2: 500, H3: 6000 H4: 0, S1: 660, S2+S3+S5: 3885, S4: 70, ComC: 444.8927
penalties -- H1: 0, H2: 0, H3: 6000 H4: 0, S1: 630, S2+S3+S5: 3810, S4: 60, ComC: 450.2083
penalties -- H1: 0, H2: 500, H3: 6000 H4: 0, S1: 660, S2+S3+S5: 3780, S4: 60, ComC: 439.0383
penalties -- H1: 0, H2: 500, H3: 6500 H4: 0, S1: 630, S2+S3+S5: 3765, S4: 60, ComC: 465.7471
penalties -- H1: 0, H2: 0, H3: 6000 H4: 0, S1: 630, S2+S3+S5: 3810, S4: 60, ComC: 450.2083
penalties -- H1: 0, H2: 0, H3: 6000 H4: 0, S1: 630, S2+S3+S5: 3810, S4: 60, ComC: 450.2083
penalties -- H1: 0, H2: 0, H3: 6000 H4: 0, S1: 630, S2+S3+S5: 3810, S4: 60, ComC: 450.2083
penalties -- H1: 0, H2: 0, H3: 6000 H4: 0, S1: 630, S2+S3+S5: 3810, S4: 60, ComC: 450.2083
penalties -- H1: 0, H2: 0, H3: 6000 H4: 0, S1: 630, S2+S3+S5: 3810, S4: 60, ComC: 450.2083
penalties -- H1: 0, H2: 0, H3: 6000 H4: 0, S1: 630, S2+S3+S5: 3810, S4: 60, ComC: 450.2083
penalties -- H1: 0, H2: 0, H3: 6000 H4: 0, S1: 630, S2+S3+S5: 3810, S4: 60, ComC: 450.2083
penalties -- H1: 0, H2: 500, H3: 6000 H4: 0, S1: 660, S2+S3+S5: 3840, S4: 60, ComC: 442.9061
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3825, S4: 60, ComC: 423.3775
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3825, S4: 60, ComC: 423.3775
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3825, S4: 60, ComC: 423.3775
penalties -- H1: 0, H2: 1500, H3: 5000 H4: 0, S1: 720, S2+S3+S5: 3585, S4: 50, ComC: 409.6075
penalties -- H1: 0, H2: 500, H3: 6000 H4: 0, S1: 660, S2+S3+S5: 3900, S4: 60, ComC: 418.9846
penalties -- H1: 0, H2: 1000, H3: 6000 H4: 0, S1: 660, S2+S3+S5: 3840, S4: 60, ComC: 417.7083
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3720, S4: 60, ComC: 414.4718
penalties -- H1: 0, H2: 500, H3: 6000 H4: 0, S1: 660, S2+S3+S5: 3705, S4: 60, ComC: 412.8935
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3720, S4: 60, ComC: 414.4718
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3720, S4: 60, ComC: 414.4718
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3720, S4: 60, ComC: 414.4718
penalties -- H1: 0, H2: 1000, H3: 6000 H4: 0, S1: 690, S2+S3+S5: 3750, S4: 60, ComC: 405.1789
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3720, S4: 60, ComC: 414.4718
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3720, S4: 60, ComC: 414.4718
penalties -- H1: 0, H2: 500, H3: 6000 H4: 0, S1: 660, S2+S3+S5: 3675, S4: 60, ComC: 414.3140
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3720, S4: 60, ComC: 414.4718
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3720, S4: 60, ComC: 414.4718
penalties -- H1: 0, H2: 1500, H3: 5500 H4: 0, S1: 720, S2+S3+S5: 3540, S4: 60, ComC: 408.1923
penalties -- H1: 0, H2: 500, H3: 6000 H4: 0, S1: 660, S2+S3+S5: 3675, S4: 60, ComC: 417.4642
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3720, S4: 60, ComC: 414.4718
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3720, S4: 60, ComC: 414.4718
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3720, S4: 60, ComC: 414.4718
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3720, S4: 60, ComC: 414.4718
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3720, S4: 60, ComC: 414.4718
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3615, S4: 60, ComC: 431.7761
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3615, S4: 60, ComC: 431.7761
penalties -- H1: 0, H2: 1000, H3: 5500 H4: 0, S1: 690, S2+S3+S5: 3480, S4: 60, ComC: 396.9939
penalties -- H1: 0, H2: 1000, H3: 5500 H4: 0, S1: 690, S2+S3+S5: 3555, S4: 60, ComC: 434.8253
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3615, S4: 60, ComC: 431.7761
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3615, S4: 60, ComC: 431.7761
penalties -- H1: 0, H2: 500, H3: 5500 H4: 0, S1: 660, S2+S3+S5: 3615, S4: 60, ComC: 431.7761
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3645, S4: 60, ComC: 422.7483
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3645, S4: 60, ComC: 422.7483
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3645, S4: 60, ComC: 422.7483
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3645, S4: 60, ComC: 422.7483
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3645, S4: 60, ComC: 422.7483
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3690, S4: 60, ComC: 417.7946
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3675, S4: 60, ComC: 416.8855
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3675, S4: 60, ComC: 416.8855
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3675, S4: 60, ComC: 416.8855
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3690, S4: 60, ComC: 416.8161
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3690, S4: 60, ComC: 416.8161
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3690, S4: 60, ComC: 416.8161
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 660, S2+S3+S5: 3735, S4: 60, ComC: 407.4137
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3690, S4: 60, ComC: 416.8161
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3690, S4: 60, ComC: 416.8161
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3690, S4: 60, ComC: 416.8161
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3690, S4: 60, ComC: 416.8161
penalties -- H1: 0, H2: 2000, H3: 5000 H4: 0, S1: 750, S2+S3+S5: 3675, S4: 60, ComC: 408.5690
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 690, S2+S3+S5: 3795, S4: 60, ComC: 410.1999
penalties -- H1: 0, H2: 1500, H3: 4500 H4: 0, S1: 720, S2+S3+S5: 3810, S4: 60, ComC: 378.8678
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3825, S4: 60, ComC: 409.1877
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 660, S2+S3+S5: 3675, S4: 60, ComC: 407.1138
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 690, S2+S3+S5: 3795, S4: 60, ComC: 410.1999
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 690, S2+S3+S5: 3795, S4: 60, ComC: 410.1999
penalties -- H1: 0, H2: 2000, H3: 4000 H4: 0, S1: 720, S2+S3+S5: 3795, S4: 60, ComC: 394.8476
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 690, S2+S3+S5: 3795, S4: 60, ComC: 410.1999
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 690, S2+S3+S5: 3795, S4: 60, ComC: 410.1999
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 690, S2+S3+S5: 3735, S4: 60, ComC: 411.5467
penalties -- H1: 0, H2: 1500, H3: 4500 H4: 0, S1: 720, S2+S3+S5: 3705, S4: 60, ComC: 406.0743
penalties -- H1: 0, H2: 2000, H3: 5000 H4: 0, S1: 750, S2+S3+S5: 3570, S4: 60, ComC: 407.0589
penalties -- H1: 0, H2: 1500, H3: 5000 H4: 0, S1: 720, S2+S3+S5: 3810, S4: 60, ComC: 416.3215
penalties -- H1: 0, H2: 1000, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3765, S4: 60, ComC: 410.9512
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 660, S2+S3+S5: 3690, S4: 60, ComC: 414.0762
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 660, S2+S3+S5: 3690, S4: 60, ComC: 414.0762
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 660, S2+S3+S5: 3690, S4: 60, ComC: 414.0762
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 660, S2+S3+S5: 3690, S4: 60, ComC: 414.0762
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 660, S2+S3+S5: 3690, S4: 60, ComC: 414.0762
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 660, S2+S3+S5: 3690, S4: 60, ComC: 414.0762
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 660, S2+S3+S5: 3690, S4: 60, ComC: 414.0762
penalties -- H1: 0, H2: 1500, H3: 5000 H4: 0, S1: 690, S2+S3+S5: 3720, S4: 60, ComC: 422.6052
penalties -- H1: 0, H2: 2000, H3: 4500 H4: 0, S1: 720, S2+S3+S5: 3690, S4: 60, ComC: 405.1747
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 660, S2+S3+S5: 3690, S4: 60, ComC: 414.0762
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 660, S2+S3+S5: 3690, S4: 60, ComC: 414.0762
penalties -- H1: 0, H2: 500, H3: 4500 H4: 0, S1: 630, S2+S3+S5: 3735, S4: 60, ComC: 414.0762
penalties -- H1: 0, H2: 500, H3: 4500 H4: 0, S1: 630, S2+S3+S5: 3735, S4: 60, ComC: 414.0762
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 630, S2+S3+S5: 3840, S4: 60, ComC: 382.8651
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 660, S2+S3+S5: 3855, S4: 60, ComC: 431.8981
penalties -- H1: 0, H2: 500, H3: 4500 H4: 0, S1: 630, S2+S3+S5: 3735, S4: 60, ComC: 414.0762
penalties -- H1: 0, H2: 500, H3: 4500 H4: 0, S1: 630, S2+S3+S5: 3735, S4: 60, ComC: 414.0762
penalties -- H1: 0, H2: 1500, H3: 4000 H4: 0, S1: 660, S2+S3+S5: 3735, S4: 60, ComC: 405.6103
penalties -- H1: 0, H2: 500, H3: 4500 H4: 0, S1: 630, S2+S3+S5: 3735, S4: 60, ComC: 414.0762
penalties -- H1: 0, H2: 500, H3: 5000 H4: 0, S1: 630, S2+S3+S5: 3885, S4: 60, ComC: 424.3319
penalties -- H1: 0, H2: 1000, H3: 4500 H4: 0, S1: 660, S2+S3+S5: 3735, S4: 60, ComC: 414.0762
penalties -- H1: 0, H2: 500, H3: 4500 H4: 0, S1: 600, S2+S3+S5: 3810, S4: 60, ComC: 416.5173
penalties -- H1: 0, H2: 500, H3: 4500 H4: 0, S1: 570, S2+S3+S5: 3705, S4: 60, ComC: 414.4160
penalties -- H1: 0, H2: 500, H3: 4500 H4: 0, S1: 570, S2+S3+S5: 3705, S4: 60, ComC: 414.4160
penalties -- H1: 0, H2: 500, H3: 4500 H4: 0, S1: 570, S2+S3+S5: 3705, S4: 60, ComC: 414.4160
penalties -- H1: 0, H2: 500, H3: 4500 H4: 0, S1: 540, S2+S3+S5: 3780, S4: 60, ComC: 421.0511
penalties -- H1: 0, H2: 500, H3: 4500 H4: 0, S1: 570, S2+S3+S5: 3705, S4: 60, ComC: 414.4160
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 630, S2+S3+S5: 3675, S4: 60, ComC: 379.8990
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 630, S2+S3+S5: 3675, S4: 60, ComC: 379.8990
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 630, S2+S3+S5: 3660, S4: 60, ComC: 378.8363
penalties -- H1: 0, H2: 2000, H3: 4000 H4: 0, S1: 660, S2+S3+S5: 3660, S4: 60, ComC: 390.5082
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 630, S2+S3+S5: 3660, S4: 60, ComC: 378.8363
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 630, S2+S3+S5: 3660, S4: 60, ComC: 378.8363
penalties -- H1: 0, H2: 2000, H3: 3500 H4: 0, S1: 660, S2+S3+S5: 3825, S4: 60, ComC: 372.0181
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 630, S2+S3+S5: 3660, S4: 60, ComC: 378.8363
penalties -- H1: 0, H2: 1500, H3: 4000 H4: 0, S1: 630, S2+S3+S5: 3645, S4: 60, ComC: 383.2807
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 630, S2+S3+S5: 3660, S4: 60, ComC: 378.8363
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 630, S2+S3+S5: 3615, S4: 60, ComC: 382.4116
penalties -- H1: 0, H2: 2000, H3: 3500 H4: 0, S1: 660, S2+S3+S5: 3615, S4: 60, ComC: 382.4116
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 600, S2+S3+S5: 3615, S4: 60, ComC: 382.4116
penalties -- H1: 0, H2: 1500, H3: 4000 H4: 0, S1: 600, S2+S3+S5: 3690, S4: 60, ComC: 378.0187
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 600, S2+S3+S5: 3585, S4: 60, ComC: 384.9032
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 600, S2+S3+S5: 3585, S4: 60, ComC: 384.9032
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 570, S2+S3+S5: 3765, S4: 60, ComC: 385.4914
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 570, S2+S3+S5: 3765, S4: 60, ComC: 385.4914
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 570, S2+S3+S5: 3765, S4: 60, ComC: 385.4914
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 570, S2+S3+S5: 3765, S4: 60, ComC: 385.4914
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 570, S2+S3+S5: 3765, S4: 60, ComC: 385.4914
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 570, S2+S3+S5: 3765, S4: 60, ComC: 385.4914
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 570, S2+S3+S5: 3765, S4: 60, ComC: 385.4914
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 570, S2+S3+S5: 3720, S4: 60, ComC: 395.0774
penalties -- H1: 0, H2: 1500, H3: 3500 H4: 0, S1: 570, S2+S3+S5: 3720, S4: 60, ComC: 395.0774
