Run scenario: n050w4

Processing: week 0
================================================================================

Finish initial solution ...
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1770, S2+S3+S5: 10080, S4: 20, ComC: 0.0000
🟥 Initial solution penalty: 18870

Start simulated annealing...🧊
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1770, S2+S3+S5: 10080, S4: 20, ComC: 0.0000

--- Temperature Level (1/76) ---
> Current temperature: 110.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1770, S2+S3+S5: 10080, S4: 20, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1770, S2+S3+S5: 10080, S4: 20, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1770, S2+S3+S5: 10095, S4: 20, ComC: 0.0000
penalties -- H1: 0, H2: 500, H3: 7000 H4: 0, S1: 1740, S2+S3+S5: 10020, S4: 20, ComC: 0.0000
penalties -- H1: 0, H2: 500, H3: 6500 H4: 0, S1: 1800, S2+S3+S5: 10200, S4: 20, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1770, S2+S3+S5: 10095, S4: 20, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1770, S2+S3+S5: 10095, S4: 20, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1770, S2+S3+S5: 10095, S4: 20, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1770, S2+S3+S5: 10095, S4: 20, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1770, S2+S3+S5: 10095, S4: 20, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1770, S2+S3+S5: 10170, S4: 20, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1770, S2+S3+S5: 10095, S4: 20, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1740, S2+S3+S5: 10080, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1740, S2+S3+S5: 10080, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1740, S2+S3+S5: 10080, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1710, S2+S3+S5: 10080, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1710, S2+S3+S5: 10080, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1710, S2+S3+S5: 10080, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1710, S2+S3+S5: 10080, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 500, H3: 7000 H4: 0, S1: 1710, S2+S3+S5: 10080, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 500, H3: 7000 H4: 0, S1: 1740, S2+S3+S5: 10080, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 8000 H4: 0, S1: 1710, S2+S3+S5: 10140, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1710, S2+S3+S5: 10080, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1710, S2+S3+S5: 10080, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1710, S2+S3+S5: 10080, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1680, S2+S3+S5: 10035, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 500, H3: 7500 H4: 0, S1: 1680, S2+S3+S5: 10095, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 1000, H3: 7000 H4: 0, S1: 1740, S2+S3+S5: 10035, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1680, S2+S3+S5: 9840, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 500, H3: 7000 H4: 0, S1: 1710, S2+S3+S5: 9900, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1680, S2+S3+S5: 9840, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1650, S2+S3+S5: 9885, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1650, S2+S3+S5: 9885, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1650, S2+S3+S5: 9885, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 500, H3: 7000 H4: 0, S1: 1680, S2+S3+S5: 10020, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1650, S2+S3+S5: 9885, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1650, S2+S3+S5: 9720, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 500, H3: 7000 H4: 0, S1: 1680, S2+S3+S5: 9765, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1680, S2+S3+S5: 9525, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1680, S2+S3+S5: 9525, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1680, S2+S3+S5: 9525, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1680, S2+S3+S5: 9525, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1680, S2+S3+S5: 9525, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7500 H4: 0, S1: 1650, S2+S3+S5: 9615, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1680, S2+S3+S5: 9525, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1680, S2+S3+S5: 9525, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1680, S2+S3+S5: 9525, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1650, S2+S3+S5: 9555, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1650, S2+S3+S5: 9555, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 500, H3: 7000 H4: 0, S1: 1680, S2+S3+S5: 9735, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1650, S2+S3+S5: 9555, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1620, S2+S3+S5: 9360, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1620, S2+S3+S5: 9360, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1620, S2+S3+S5: 9360, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1620, S2+S3+S5: 9360, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1620, S2+S3+S5: 9360, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1620, S2+S3+S5: 9405, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 500, H3: 7000 H4: 0, S1: 1650, S2+S3+S5: 9405, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1620, S2+S3+S5: 9405, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 500, H3: 7000 H4: 0, S1: 1650, S2+S3+S5: 9435, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1620, S2+S3+S5: 9405, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1620, S2+S3+S5: 9405, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1620, S2+S3+S5: 9405, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1620, S2+S3+S5: 9405, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1590, S2+S3+S5: 9450, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7500 H4: 0, S1: 1590, S2+S3+S5: 9405, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1590, S2+S3+S5: 9585, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1590, S2+S3+S5: 9585, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1590, S2+S3+S5: 9450, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1590, S2+S3+S5: 9450, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 1000, H3: 7000 H4: 0, S1: 1620, S2+S3+S5: 9420, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7500 H4: 0, S1: 1590, S2+S3+S5: 9420, S4: 30, ComC: 0.0000
penalties -- H1: 0, H2: 0, H3: 7000 H4: 0, S1: 1590, S2+S3+S5: 9450, S4: 30, ComC: 0.0000
